time,voltage,current,power
20210331110000.08, 122.1, 2.6, 239.0
20210331110001.25, 122.1, 2.6, 239.0
20210331110002.31, 122.2, 2.6, 236.0
20210331110003.39, 122.2, 2.6, 236.0
20210331110004.47, 122.1, 2.6, 241.0
20210331110005.55, 122.1, 2.6, 241.0
20210331110006.62, 122.1, 2.6, 239.0
20210331110007.7, 122.1, 2.6, 239.0
20210331110008.78, 122.1, 2.6, 237.0
20210331110009.86, 122.1, 2.6, 237.0
20210331110010.92, 122.1, 2.6, 242.0
20210331110011.98, 122.1, 2.6, 242.0
20210331110013.05, 122.2, 2.6, 238.0
20210331110014.11, 122.2, 2.6, 238.0
20210331110015.19, 122.2, 2.6, 245.0
20210331110016.27, 122.2, 2.6, 245.0
20210331110017.32, 122.2, 2.6, 240.0
20210331110018.39, 122.2, 2.6, 240.0
20210331110019.46, 122.2, 2.6, 240.0
20210331110020.53, 122.2, 2.6, 240.0
20210331110021.61, 122.2, 2.6, 240.0
20210331110022.68, 122.2, 2.6, 240.0
20210331110023.76, 122.2, 2.7, 242.0
20210331110024.84, 122.2, 2.7, 242.0
20210331110025.89, 122.1, 2.7, 239.0
20210331110026.97, 122.1, 2.7, 239.0
20210331110028.04, 122.1, 2.7, 240.0
20210331110029.11, 122.1, 2.7, 240.0
20210331110030.19, 122.1, 2.7, 242.0
20210331110031.26, 122.1, 2.7, 242.0
20210331110032.32, 122.0, 2.7, 237.0
20210331110033.39, 122.0, 2.7, 237.0
20210331110034.46, 122.1, 2.7, 239.0
20210331110035.54, 122.1, 2.7, 239.0
20210331110036.61, 122.0, 2.7, 238.0
20210331110037.69, 122.0, 2.7, 238.0
20210331110038.75, 122.1, 2.7, 243.0
20210331110039.82, 122.1, 2.7, 243.0
20210331110040.9, 122.1, 2.6, 237.0
20210331110042.11, 122.1, 2.6, 238.0
20210331110043.18, 122.1, 2.6, 238.0
20210331110044.24, 122.1, 2.6, 239.0
20210331110045.32, 122.1, 2.6, 239.0
20210331110046.39, 122.1, 2.6, 240.0
20210331110047.46, 122.1, 2.6, 240.0
20210331110048.54, 122.1, 2.6, 240.0
20210331110049.61, 122.1, 2.6, 240.0
20210331110050.67, 122.2, 2.6, 240.0
20210331110051.75, 122.2, 2.6, 240.0
20210331110052.8, 122.2, 2.6, 236.0
20210331110053.88, 122.2, 2.6, 236.0
20210331110054.95, 122.1, 2.7, 242.0
20210331110056.02, 122.1, 2.7, 242.0
20210331110057.08, 122.1, 2.7, 234.0
20210331110058.16, 122.1, 2.7, 234.0
20210331110059.23, 122.1, 2.7, 243.0
20210331110100.29, 122.1, 2.7, 243.0
20210331110101.35, 122.1, 2.7, 240.0
20210331110102.43, 122.1, 2.7, 240.0
20210331110103.48, 122.1, 2.7, 242.0
20210331110104.55, 122.1, 2.7, 242.0
20210331110105.64, 122.1, 2.7, 237.0
20210331110106.71, 122.1, 2.7, 237.0
20210331110107.8, 122.1, 2.7, 241.0
20210331110108.86, 122.1, 2.7, 241.0
20210331110109.92, 122.1, 2.6, 239.0
20210331110110.99, 122.1, 2.6, 239.0
20210331110112.06, 122.2, 2.6, 239.0
20210331110113.13, 122.2, 2.6, 239.0
20210331110114.2, 122.2, 2.6, 239.0
20210331110115.28, 122.2, 2.6, 239.0
20210331110116.36, 122.2, 2.6, 239.0
20210331110117.44, 122.2, 2.6, 239.0
20210331110118.5, 122.2, 2.6, 239.0
20210331110119.57, 122.2, 2.6, 239.0
20210331110120.64, 122.2, 2.6, 238.0
20210331110121.71, 122.2, 2.6, 238.0
20210331110122.79, 122.2, 2.6, 241.0
20210331110123.87, 122.2, 2.6, 243.0
20210331110125.04, 122.2, 2.6, 243.0
20210331110126.1, 122.2, 2.6, 239.0
20210331110127.18, 122.2, 2.6, 239.0
20210331110128.24, 122.2, 2.6, 237.0
20210331110129.31, 122.2, 2.6, 237.0
20210331110130.38, 122.2, 2.6, 237.0
20210331110131.48, 122.2, 2.6, 237.0
20210331110132.55, 122.2, 2.6, 242.0
20210331110133.63, 122.2, 2.6, 242.0
20210331110134.7, 122.2, 2.6, 238.0
20210331110135.77, 122.2, 2.6, 238.0
20210331110136.83, 122.3, 2.6, 240.0
20210331110137.9, 122.3, 2.6, 240.0
20210331110138.98, 122.3, 2.6, 240.0
20210331110140.06, 122.3, 2.6, 240.0
20210331110141.14, 122.3, 2.6, 241.0
20210331110142.22, 122.3, 2.6, 241.0
20210331110143.28, 122.3, 2.6, 238.0
20210331110144.34, 122.3, 2.6, 238.0
20210331110145.4, 122.3, 2.6, 240.0
20210331110146.47, 122.3, 2.6, 240.0
20210331110147.55, 122.3, 2.6, 241.0
20210331110148.64, 122.3, 2.6, 241.0
20210331110149.73, 122.2, 2.6, 240.0
20210331110150.79, 122.2, 2.6, 240.0
20210331110151.87, 122.3, 2.6, 239.0
20210331110152.95, 122.3, 2.6, 239.0
20210331110154.01, 122.2, 2.6, 242.0
20210331110155.07, 122.2, 2.6, 242.0
20210331110156.13, 122.3, 2.6, 240.0
20210331110157.21, 122.3, 2.6, 240.0
20210331110158.28, 122.2, 2.6, 240.0
20210331110159.36, 122.2, 2.6, 240.0
20210331110200.42, 122.1, 2.6, 237.0
20210331110201.48, 122.1, 2.6, 237.0
20210331110202.54, 122.0, 2.6, 241.0
20210331110203.75, 122.0, 2.6, 242.0
20210331110204.84, 122.0, 2.6, 242.0
20210331110205.93, 122.1, 2.6, 239.0
20210331110207.02, 122.1, 2.6, 239.0
20210331110208.09, 122.1, 2.6, 242.0
