time,voltage,current,power
20210402110000.41, 122.0, 2.7, 239.0
20210402110001.57, 122.0, 2.7, 239.0
20210402110002.63, 122.0, 2.7, 239.0
20210402110003.69, 122.0, 2.7, 239.0
20210402110004.74, 121.9, 2.7, 241.0
20210402110005.81, 121.9, 2.7, 241.0
20210402110006.88, 122.0, 2.7, 237.0
20210402110007.95, 122.0, 2.7, 237.0
20210402110009.03, 122.0, 2.6, 244.0
20210402110010.1, 122.0, 2.6, 244.0
20210402110011.16, 122.0, 2.6, 239.0
20210402110012.21, 122.0, 2.6, 239.0
20210402110013.27, 122.1, 2.6, 236.0
20210402110014.34, 122.1, 2.6, 236.0
20210402110015.39, 122.0, 2.6, 243.0
20210402110016.46, 122.0, 2.6, 243.0
20210402110017.53, 122.1, 2.6, 241.0
20210402110018.59, 122.1, 2.6, 241.0
20210402110019.65, 122.1, 2.6, 242.0
20210402110020.73, 122.1, 2.6, 242.0
20210402110021.79, 122.1, 2.6, 238.0
20210402110022.87, 122.1, 2.6, 238.0
20210402110023.92, 122.2, 2.5, 240.0
20210402110024.99, 122.2, 2.5, 240.0
20210402110026.05, 122.1, 2.5, 242.0
20210402110027.12, 122.1, 2.5, 242.0
20210402110028.18, 122.1, 2.5, 237.0
20210402110029.25, 122.1, 2.5, 237.0
20210402110030.32, 122.0, 2.5, 240.0
20210402110031.4, 122.0, 2.5, 240.0
20210402110032.45, 121.8, 2.5, 237.0
20210402110033.53, 121.8, 2.5, 237.0
20210402110034.58, 121.8, 2.5, 239.0
20210402110035.64, 121.8, 2.5, 239.0
20210402110036.71, 121.8, 2.5, 238.0
20210402110037.77, 121.8, 2.5, 238.0
20210402110038.84, 121.8, 2.5, 240.0
20210402110039.89, 121.8, 2.5, 240.0
20210402110040.96, 121.8, 2.6, 241.0
20210402110042.04, 121.8, 2.6, 241.0
20210402110043.09, 121.8, 2.6, 241.0
20210402110044.17, 121.8, 2.6, 241.0
20210402110045.23, 121.8, 2.6, 240.0
20210402110046.29, 121.8, 2.6, 240.0
20210402110047.34, 121.8, 2.6, 235.0
20210402110048.4, 121.8, 2.6, 235.0
20210402110049.47, 121.8, 2.6, 239.0
20210402110050.55, 121.8, 2.6, 239.0
20210402110051.7, 121.8, 2.6, 239.0
20210402110052.77, 121.8, 2.6, 238.0
20210402110053.82, 121.8, 2.6, 238.0
20210402110054.88, 121.8, 2.6, 238.0
20210402110055.95, 121.8, 2.6, 238.0
20210402110057.02, 121.8, 2.6, 236.0
20210402110058.1, 121.8, 2.6, 236.0
20210402110059.19, 121.8, 2.5, 236.0
20210402110100.26, 121.8, 2.5, 236.0
20210402110101.33, 121.7, 2.5, 241.0
20210402110102.38, 121.7, 2.5, 241.0
20210402110103.45, 121.5, 2.5, 237.0
20210402110104.52, 121.5, 2.5, 237.0
20210402110105.59, 121.6, 2.5, 238.0
20210402110106.68, 121.6, 2.5, 238.0
20210402110107.75, 121.6, 2.5, 240.0
20210402110108.8, 121.6, 2.5, 240.0
20210402110109.87, 121.6, 2.5, 238.0
20210402110110.95, 121.6, 2.5, 238.0
20210402110112.02, 121.6, 2.5, 236.0
20210402110113.08, 121.6, 2.5, 236.0
20210402110114.15, 121.6, 2.5, 238.0
20210402110115.22, 121.6, 2.5, 238.0
20210402110116.29, 121.6, 2.5, 236.0
20210402110117.36, 121.6, 2.5, 236.0
20210402110118.42, 121.6, 2.5, 238.0
20210402110119.49, 121.6, 2.5, 238.0
20210402110120.55, 121.6, 2.5, 236.0
20210402110121.61, 121.6, 2.5, 236.0
20210402110122.66, 121.6, 2.5, 237.0
20210402110123.73, 121.6, 2.5, 237.0
20210402110124.79, 121.6, 2.5, 237.0
20210402110125.87, 121.6, 2.5, 237.0
20210402110126.93, 121.6, 2.5, 238.0
20210402110128.01, 121.6, 2.5, 238.0
20210402110129.07, 121.6, 2.5, 239.0
20210402110130.14, 121.6, 2.5, 239.0
20210402110131.21, 121.6, 2.5, 238.0
20210402110132.27, 121.6, 2.5, 238.0
20210402110133.35, 121.6, 2.5, 237.0
20210402110134.52, 121.6, 2.6, 237.0
20210402110135.6, 121.6, 2.6, 237.0
20210402110136.65, 121.6, 2.6, 237.0
20210402110137.71, 121.6, 2.6, 237.0
20210402110138.77, 121.6, 2.6, 237.0
20210402110139.84, 121.6, 2.6, 237.0
20210402110140.92, 121.7, 2.6, 238.0
20210402110141.99, 121.7, 2.6, 238.0
20210402110143.06, 121.6, 2.6, 237.0
20210402110144.13, 121.6, 2.6, 237.0
