time,voltage,current,power
20210402080000.32, 121.8, 2.6, 244.0
20210402080001.48, 121.7, 2.6, 237.0
20210402080002.55, 121.7, 2.6, 237.0
20210402080003.64, 121.7, 2.6, 237.0
20210402080004.7, 121.6, 2.6, 237.0
20210402080005.77, 121.6, 2.6, 237.0
20210402080006.83, 121.7, 2.6, 238.0
20210402080007.91, 121.7, 2.6, 238.0
20210402080008.97, 121.7, 2.6, 242.0
20210402080010.04, 121.7, 2.6, 242.0
20210402080011.11, 121.8, 2.6, 238.0
20210402080012.17, 121.8, 2.6, 238.0
20210402080013.23, 121.8, 2.6, 238.0
20210402080014.3, 121.8, 2.6, 238.0
20210402080015.36, 121.9, 2.6, 237.0
20210402080016.43, 121.9, 2.6, 237.0
20210402080017.49, 121.9, 2.6, 237.0
20210402080018.56, 121.9, 2.6, 237.0
20210402080019.62, 121.8, 2.5, 237.0
20210402080020.68, 121.8, 2.5, 237.0
20210402080021.75, 121.8, 2.5, 237.0
20210402080022.82, 121.8, 2.5, 237.0
20210402080023.88, 121.8, 2.5, 242.0
20210402080024.95, 121.8, 2.5, 242.0
20210402080026.01, 121.9, 2.5, 238.0
20210402080027.09, 121.9, 2.5, 238.0
20210402080028.16, 121.8, 2.5, 237.0
20210402080029.24, 121.8, 2.5, 237.0
20210402080030.3, 121.9, 2.5, 239.0
20210402080031.36, 121.9, 2.5, 239.0
20210402080032.43, 121.8, 2.5, 240.0
20210402080033.5, 121.8, 2.5, 240.0
20210402080034.55, 121.9, 2.6, 237.0
20210402080035.64, 121.9, 2.6, 237.0
20210402080036.7, 121.8, 2.6, 239.0
20210402080037.77, 121.8, 2.6, 239.0
20210402080038.84, 121.9, 2.6, 240.0
20210402080039.91, 121.9, 2.6, 240.0
20210402080040.97, 121.9, 2.6, 240.0
20210402080042.04, 121.9, 2.6, 240.0
20210402080043.11, 121.9, 2.6, 242.0
20210402080044.19, 121.9, 2.6, 242.0
20210402080045.26, 121.9, 2.6, 239.0
20210402080046.34, 121.9, 2.6, 238.0
20210402080047.48, 121.9, 2.6, 238.0
20210402080048.55, 121.9, 2.6, 237.0
20210402080049.62, 121.9, 2.6, 237.0
20210402080050.69, 121.9, 2.5, 237.0
20210402080051.77, 121.9, 2.5, 237.0
20210402080052.82, 121.9, 2.5, 243.0
20210402080053.88, 121.9, 2.5, 243.0
20210402080054.94, 121.9, 2.5, 242.0
20210402080056.02, 121.9, 2.5, 242.0
20210402080057.09, 121.9, 2.5, 239.0
20210402080058.17, 121.9, 2.5, 239.0
20210402080059.24, 121.9, 2.5, 237.0
20210402080100.3, 121.9, 2.5, 237.0
20210402080101.37, 121.8, 2.5, 237.0
20210402080102.43, 121.8, 2.5, 237.0
20210402080103.49, 121.8, 2.5, 237.0
20210402080104.55, 121.8, 2.5, 237.0
20210402080105.61, 121.9, 2.5, 240.0
20210402080106.67, 121.9, 2.5, 240.0
20210402080107.73, 121.9, 2.5, 237.0
20210402080108.8, 121.9, 2.5, 237.0
20210402080109.91, 121.9, 2.5, 240.0
20210402080110.98, 121.9, 2.5, 240.0
20210402080112.04, 121.9, 2.5, 240.0
20210402080113.11, 121.9, 2.5, 240.0
20210402080114.17, 121.9, 2.5, 237.0
20210402080115.23, 121.9, 2.5, 237.0
20210402080116.29, 121.9, 2.5, 239.0
20210402080117.34, 121.9, 2.5, 239.0
20210402080118.39, 122.0, 2.5, 240.0
20210402080119.46, 122.0, 2.5, 240.0
20210402080120.54, 122.0, 2.6, 240.0
20210402080121.59, 122.0, 2.6, 240.0
20210402080122.65, 122.0, 2.6, 239.0
20210402080123.72, 122.0, 2.6, 239.0
20210402080124.78, 121.9, 2.6, 239.0
20210402080125.86, 121.9, 2.6, 239.0
20210402080126.91, 121.9, 2.6, 240.0
20210402080127.97, 121.9, 2.6, 240.0
20210402080129.03, 121.9, 2.6, 238.0
20210402080130.1, 121.9, 2.6, 238.0
20210402080131.16, 122.0, 2.6, 240.0
20210402080132.23, 122.0, 2.6, 240.0
20210402080133.29, 122.0, 2.6, 240.0
20210402080134.36, 122.0, 2.6, 240.0
20210402080135.41, 122.0, 2.7, 241.0
20210402080136.47, 122.0, 2.7, 241.0
20210402080137.54, 122.0, 2.7, 239.0
20210402080138.59, 122.0, 2.7, 239.0
20210402080139.73, 121.9, 2.7, 239.0
20210402080140.81, 122.0, 2.7, 240.0
20210402080141.86, 122.0, 2.7, 240.0
20210402080142.93, 121.9, 2.7, 240.0
20210402080144.0, 121.9, 2.7, 240.0
20210402080145.05, 121.9, 2.7, 236.0
20210402080146.11, 121.9, 2.7, 236.0
20210402080147.16, 121.9, 2.7, 235.0
20210402080148.22, 121.9, 2.7, 235.0
20210402080149.28, 121.9, 2.7, 240.0
20210402080150.35, 121.9, 2.7, 240.0
20210402080151.41, 121.9, 2.5, 238.0
20210402080152.46, 121.9, 2.5, 238.0
20210402080153.52, 121.9, 2.5, 237.0
20210402080154.57, 121.9, 2.5, 237.0
20210402080155.63, 121.9, 2.5, 239.0
20210402080156.68, 121.9, 2.5, 239.0
20210402080157.74, 121.9, 2.5, 239.0
20210402080158.81, 121.9, 2.5, 239.0
20210402080159.86, 121.9, 2.5, 237.0
20210402080200.94, 121.9, 2.5, 237.0
20210402080202.0, 121.9, 2.5, 239.0
20210402080203.05, 121.9, 2.5, 239.0
20210402080204.11, 121.8, 2.5, 235.0
20210402080205.18, 121.8, 2.5, 235.0
20210402080206.27, 121.8, 2.6, 236.0
20210402080207.33, 121.8, 2.6, 236.0
20210402080208.39, 121.9, 2.6, 236.0
20210402080209.46, 121.9, 2.6, 236.0
20210402080210.53, 121.9, 2.6, 240.0
20210402080211.61, 121.9, 2.6, 240.0
20210402080212.65, 121.9, 2.6, 240.0
20210402080213.72, 121.9, 2.6, 240.0
20210402080214.79, 121.9, 2.6, 242.0
20210402080215.86, 121.9, 2.6, 242.0
