time,voltage,current,power
20210407150000.11, 121.0, 2.5, 236.0
20210407150001.28, 121.0, 2.5, 236.0
20210407150002.33, 120.9, 2.5, 236.0
20210407150003.39, 120.9, 2.5, 236.0
20210407150004.45, 121.0, 2.5, 237.0
20210407150005.52, 121.0, 2.5, 237.0
20210407150006.58, 121.0, 2.5, 236.0
20210407150007.66, 121.0, 2.5, 236.0
20210407150008.74, 121.0, 2.5, 238.0
20210407150009.81, 121.0, 2.5, 238.0
20210407150010.86, 121.0, 2.5, 232.0
20210407150011.94, 121.0, 2.5, 232.0
20210407150013.0, 121.0, 2.5, 236.0
20210407150014.07, 121.0, 2.5, 236.0
20210407150015.14, 121.0, 2.5, 234.0
20210407150016.21, 121.0, 2.5, 234.0
20210407150017.29, 121.1, 2.5, 235.0
20210407150018.36, 121.1, 2.5, 235.0
20210407150019.43, 121.0, 2.5, 239.0
20210407150020.5, 121.0, 2.5, 239.0
20210407150021.55, 121.0, 2.5, 237.0
20210407150022.63, 121.0, 2.5, 237.0
20210407150023.7, 121.0, 2.5, 233.0
20210407150024.77, 121.0, 2.5, 233.0
20210407150025.82, 120.9, 2.5, 238.0
20210407150026.9, 120.9, 2.5, 238.0
20210407150027.96, 120.9, 2.5, 234.0
20210407150029.03, 120.9, 2.5, 234.0
20210407150030.09, 120.9, 2.5, 234.0
20210407150031.15, 120.9, 2.5, 234.0
20210407150032.21, 120.9, 2.5, 234.0
20210407150033.29, 120.9, 2.5, 234.0
20210407150034.37, 120.9, 2.5, 235.0
20210407150035.44, 120.9, 2.5, 235.0
20210407150036.49, 120.9, 2.5, 235.0
20210407150037.56, 120.9, 2.5, 235.0
20210407150038.62, 120.9, 2.5, 235.0
20210407150039.69, 120.9, 2.5, 235.0
20210407150040.75, 121.0, 2.5, 235.0
20210407150041.84, 121.0, 2.5, 235.0
20210407150042.9, 121.0, 2.5, 232.0
20210407150044.11, 121.0, 2.5, 239.0
20210407150045.18, 121.0, 2.5, 239.0
20210407150046.24, 120.9, 2.6, 236.0
20210407150047.3, 120.9, 2.6, 236.0
20210407150048.36, 120.9, 2.6, 237.0
20210407150049.43, 120.9, 2.6, 237.0
20210407150050.5, 120.9, 2.6, 236.0
20210407150051.57, 120.9, 2.6, 236.0
20210407150052.64, 120.9, 2.6, 234.0
20210407150053.71, 120.9, 2.6, 234.0
20210407150054.77, 120.8, 2.6, 234.0
20210407150055.83, 120.8, 2.6, 234.0
20210407150056.89, 120.8, 2.6, 239.0
20210407150057.97, 120.8, 2.6, 239.0
20210407150059.04, 120.8, 2.6, 234.0
20210407150100.11, 120.8, 2.6, 234.0
20210407150101.16, 120.8, 2.6, 236.0
20210407150102.23, 120.8, 2.6, 236.0
20210407150103.31, 120.9, 2.5, 237.0
20210407150104.38, 120.9, 2.5, 237.0
20210407150105.43, 120.9, 2.5, 234.0
20210407150106.52, 120.9, 2.5, 234.0
20210407150107.59, 120.9, 2.5, 235.0
20210407150108.66, 120.9, 2.5, 235.0
