time,voltage,current,power
20210331130000.93, 121.9, 2.6, 240.0
20210331130002.12, 121.9, 2.7, 239.0
20210331130003.19, 121.9, 2.7, 242.0
20210331130004.27, 121.9, 2.7, 242.0
20210331130005.33, 121.9, 2.7, 240.0
20210331130006.41, 121.9, 2.7, 240.0
20210331130007.47, 121.9, 2.7, 240.0
20210331130008.55, 121.9, 2.7, 240.0
20210331130009.61, 122.0, 2.7, 239.0
20210331130010.69, 122.0, 2.7, 239.0
20210331130011.75, 122.0, 2.7, 240.0
20210331130012.82, 122.0, 2.7, 240.0
20210331130013.89, 122.0, 2.7, 240.0
20210331130014.96, 122.0, 2.7, 240.0
20210331130016.02, 121.9, 2.7, 238.0
20210331130017.08, 121.9, 2.7, 238.0
20210331130018.15, 122.0, 2.7, 240.0
20210331130019.22, 122.0, 2.7, 240.0
20210331130020.3, 122.0, 2.7, 246.0
20210331130021.38, 122.0, 2.7, 246.0
20210331130022.44, 122.0, 2.7, 237.0
20210331130023.5, 122.0, 2.7, 237.0
20210331130024.56, 122.0, 2.7, 239.0
20210331130025.63, 122.0, 2.7, 239.0
20210331130026.71, 122.0, 2.7, 237.0
20210331130027.79, 122.0, 2.7, 237.0
20210331130028.86, 121.9, 2.7, 236.0
20210331130029.95, 121.9, 2.7, 236.0
20210331130031.0, 122.0, 2.7, 238.0
20210331130032.08, 122.0, 2.7, 238.0
20210331130033.16, 121.9, 2.6, 238.0
20210331130034.23, 121.9, 2.6, 238.0
20210331130035.31, 121.9, 2.6, 241.0
20210331130036.39, 121.9, 2.6, 241.0
20210331130037.45, 121.9, 2.6, 237.0
20210331130038.53, 121.9, 2.6, 237.0
20210331130039.59, 121.9, 2.6, 239.0
20210331130040.67, 121.9, 2.6, 239.0
20210331130041.73, 121.9, 2.6, 237.0
20210331130042.8, 121.9, 2.6, 237.0
20210331130043.87, 121.9, 2.6, 238.0
20210331130045.07, 121.9, 2.6, 242.0
20210331130046.14, 121.9, 2.6, 242.0
20210331130047.2, 121.8, 2.7, 235.0
20210331130048.27, 121.8, 2.7, 235.0
20210331130049.34, 121.9, 2.7, 238.0
20210331130050.42, 121.9, 2.7, 238.0
20210331130051.48, 121.9, 2.7, 238.0
20210331130052.56, 121.9, 2.7, 238.0
20210331130053.63, 121.8, 2.7, 241.0
20210331130054.71, 121.8, 2.7, 241.0
20210331130055.77, 121.9, 2.7, 246.0
20210331130056.84, 121.9, 2.7, 246.0
20210331130057.91, 122.0, 2.7, 241.0
20210331130058.98, 122.0, 2.7, 241.0
20210331130100.05, 122.0, 2.7, 237.0
20210331130101.12, 122.0, 2.7, 237.0
20210331130102.19, 121.9, 2.7, 241.0
20210331130103.26, 121.9, 2.7, 241.0
20210331130104.32, 121.9, 2.5, 242.0
20210331130105.4, 121.9, 2.5, 242.0
20210331130106.46, 121.9, 2.5, 243.0
20210331130107.54, 121.9, 2.5, 243.0
20210331130108.61, 121.9, 2.5, 238.0
20210331130109.7, 121.9, 2.5, 238.0
20210331130110.79, 121.9, 2.5, 240.0
20210331130111.87, 121.9, 2.5, 240.0
20210331130112.94, 121.8, 2.5, 238.0
20210331130114.02, 121.8, 2.5, 238.0
20210331130115.08, 121.9, 2.5, 242.0
20210331130116.16, 121.9, 2.5, 242.0
20210331130117.23, 121.9, 2.5, 237.0
20210331130118.3, 121.9, 2.5, 237.0
20210331130119.37, 121.9, 2.6, 239.0
20210331130120.44, 121.9, 2.6, 239.0
20210331130121.51, 121.9, 2.6, 237.0
20210331130122.59, 121.9, 2.6, 237.0
20210331130123.64, 122.0, 2.6, 242.0
20210331130124.72, 122.0, 2.6, 242.0
20210331130125.89, 121.9, 2.6, 235.0
20210331130126.96, 122.0, 2.6, 237.0
20210331130128.05, 122.0, 2.6, 237.0
20210331130129.12, 122.0, 2.6, 240.0
20210331130130.2, 122.0, 2.6, 240.0
20210331130131.27, 121.9, 2.6, 239.0
20210331130132.34, 121.9, 2.6, 239.0
20210331130133.41, 121.9, 2.6, 237.0
20210331130134.48, 121.9, 2.6, 237.0
20210331130135.56, 121.9, 2.6, 239.0
20210331130136.64, 121.9, 2.6, 239.0
20210331130137.71, 121.9, 2.6, 240.0
20210331130138.79, 121.9, 2.6, 240.0
20210331130139.84, 121.9, 2.6, 245.0
20210331130140.91, 121.9, 2.6, 245.0
20210331130141.99, 121.9, 2.6, 242.0
20210331130143.06, 121.9, 2.6, 242.0
20210331130144.12, 121.9, 2.6, 238.0
20210331130145.21, 121.9, 2.6, 238.0
20210331130146.29, 121.9, 2.6, 238.0
20210331130147.39, 121.9, 2.6, 238.0
20210331130148.47, 121.9, 2.6, 240.0
20210331130149.55, 121.9, 2.6, 240.0
20210331130150.61, 121.9, 2.7, 238.0
20210331130151.67, 121.9, 2.7, 238.0
20210331130152.74, 121.8, 2.7, 241.0
20210331130153.83, 121.8, 2.7, 241.0
20210331130154.9, 121.9, 2.7, 239.0
20210331130155.97, 121.9, 2.7, 239.0
20210331130157.04, 121.9, 2.7, 238.0
20210331130158.12, 121.9, 2.7, 238.0
20210331130159.19, 121.8, 2.7, 240.0
20210331130200.26, 121.8, 2.7, 240.0
20210331130201.34, 121.8, 2.7, 234.0
20210331130202.39, 121.8, 2.7, 234.0
20210331130203.47, 121.9, 2.7, 242.0
20210331130204.55, 121.9, 2.6, 240.0
20210331130205.7, 121.9, 2.6, 240.0
20210331130206.75, 121.9, 2.6, 240.0
20210331130207.81, 121.9, 2.6, 240.0
20210331130208.87, 121.8, 2.6, 238.0
20210331130209.94, 121.8, 2.6, 238.0
20210331130211.0, 121.9, 2.6, 241.0
20210331130212.07, 121.9, 2.6, 241.0
20210331130213.13, 121.9, 2.6, 239.0
20210331130214.21, 121.9, 2.6, 239.0
20210331130215.28, 121.9, 2.6, 240.0
20210331130216.34, 121.9, 2.6, 240.0
20210331130217.41, 121.9, 2.6, 238.0
20210331130218.49, 121.9, 2.6, 238.0
20210331130219.54, 121.8, 2.6, 240.0
20210331130220.62, 121.8, 2.6, 240.0
20210331130221.68, 121.9, 2.6, 240.0
20210331130222.76, 121.9, 2.6, 240.0
20210331130223.83, 121.9, 2.6, 244.0
20210331130224.92, 121.9, 2.6, 244.0
20210331130225.98, 121.9, 2.6, 240.0
20210331130227.06, 121.9, 2.6, 240.0
20210331130228.12, 121.9, 2.6, 239.0
20210331130229.2, 121.9, 2.6, 239.0
20210331130230.26, 121.9, 2.6, 241.0
20210331130231.34, 121.9, 2.6, 241.0
20210331130232.42, 122.0, 2.6, 242.0
20210331130233.5, 122.0, 2.6, 242.0
20210331130234.57, 121.9, 2.5, 240.0
20210331130235.64, 121.9, 2.5, 240.0
20210331130236.71, 121.9, 2.5, 239.0
20210331130237.79, 121.9, 2.5, 239.0
20210331130238.86, 121.9, 2.5, 239.0
20210331130239.93, 121.9, 2.5, 239.0
20210331130241.0, 121.9, 2.5, 238.0
20210331130242.07, 121.9, 2.5, 238.0
20210331130243.14, 122.0, 2.5, 239.0
20210331130244.21, 122.0, 2.5, 239.0
20210331130245.29, 121.9, 2.5, 241.0
20210331130246.36, 121.9, 2.5, 241.0
20210331130247.42, 121.9, 2.5, 241.0
20210331130248.64, 121.9, 2.5, 241.0
20210331130249.73, 121.9, 2.5, 241.0
20210331130250.8, 122.0, 2.6, 237.0
20210331130251.89, 122.0, 2.6, 237.0
20210331130252.96, 122.0, 2.6, 238.0
20210331130254.05, 122.0, 2.6, 238.0
20210331130255.11, 121.9, 2.6, 235.0
20210331130256.18, 121.9, 2.6, 235.0
20210331130257.25, 121.9, 2.6, 237.0
20210331130258.34, 121.9, 2.6, 237.0
20210331130259.4, 121.8, 2.6, 239.0
20210331130300.47, 121.8, 2.6, 239.0
20210331130301.53, 121.8, 2.6, 239.0
20210331130302.61, 121.8, 2.6, 239.0
20210331130303.68, 121.8, 2.6, 239.0
20210331130304.75, 121.8, 2.6, 239.0
20210331130305.82, 121.9, 2.6, 238.0
20210331130306.89, 121.9, 2.6, 238.0
20210331130307.95, 121.9, 2.6, 240.0
20210331130309.03, 121.9, 2.6, 240.0
20210331130310.09, 121.9, 2.6, 238.0
20210331130311.18, 121.9, 2.6, 238.0
20210331130312.25, 121.9, 2.6, 243.0
20210331130313.32, 121.9, 2.6, 243.0
20210331130314.4, 122.0, 2.6, 239.0
20210331130315.46, 122.0, 2.6, 239.0
20210331130316.54, 122.0, 2.6, 238.0
20210331130317.62, 122.0, 2.6, 238.0
20210331130318.68, 122.0, 2.6, 245.0
20210331130319.76, 122.0, 2.6, 245.0
20210331130320.82, 122.0, 2.6, 241.0
20210331130321.89, 122.0, 2.6, 241.0
20210331130322.96, 122.0, 2.6, 240.0
20210331130324.02, 122.0, 2.6, 240.0
20210331130325.08, 121.9, 2.6, 239.0
20210331130326.16, 121.9, 2.6, 239.0
20210331130327.23, 121.8, 2.6, 240.0
20210331130328.3, 121.7, 2.6, 235.0
20210331130329.46, 121.7, 2.6, 235.0
