time,voltage,current,power
20210405160000.16, 122.0, 2.6, 238.0
20210405160001.31, 122.0, 2.6, 240.0
20210405160002.37, 122.0, 2.6, 239.0
20210405160003.45, 122.0, 2.6, 239.0
20210405160004.51, 122.1, 2.6, 240.0
20210405160005.57, 122.1, 2.6, 240.0
20210405160006.64, 122.2, 2.6, 242.0
20210405160007.71, 122.2, 2.6, 242.0
20210405160008.79, 122.2, 2.6, 238.0
20210405160009.84, 122.2, 2.6, 238.0
20210405160010.92, 122.2, 2.6, 238.0
20210405160011.99, 122.2, 2.6, 238.0
20210405160013.05, 122.2, 2.6, 242.0
20210405160014.11, 122.2, 2.6, 242.0
20210405160015.17, 122.2, 2.6, 235.0
20210405160016.23, 122.2, 2.6, 235.0
20210405160017.28, 122.2, 2.6, 240.0
20210405160018.36, 122.2, 2.6, 240.0
20210405160019.43, 122.2, 2.6, 242.0
20210405160020.5, 122.2, 2.6, 242.0
20210405160021.57, 122.2, 2.6, 239.0
20210405160022.63, 122.2, 2.6, 239.0
20210405160023.7, 122.2, 2.6, 240.0
20210405160024.77, 122.2, 2.6, 240.0
20210405160025.84, 122.2, 2.7, 241.0
20210405160026.91, 122.2, 2.7, 241.0
20210405160027.97, 122.1, 2.7, 242.0
20210405160029.05, 122.1, 2.7, 242.0
20210405160030.11, 122.1, 2.7, 240.0
20210405160031.18, 122.1, 2.7, 240.0
20210405160032.25, 122.1, 2.7, 238.0
20210405160033.31, 122.1, 2.7, 238.0
20210405160034.38, 122.2, 2.7, 244.0
20210405160035.44, 122.2, 2.7, 244.0
20210405160036.49, 122.2, 2.7, 240.0
20210405160037.55, 122.2, 2.7, 240.0
20210405160038.61, 122.2, 2.7, 239.0
20210405160039.68, 122.2, 2.7, 239.0
20210405160040.75, 122.2, 2.5, 239.0
20210405160041.82, 122.2, 2.5, 239.0
20210405160042.88, 122.1, 2.5, 237.0
20210405160043.95, 122.1, 2.5, 237.0
20210405160045.02, 122.2, 2.5, 240.0
20210405160046.1, 122.2, 2.5, 240.0
20210405160047.16, 122.1, 2.5, 242.0
20210405160048.34, 122.2, 2.5, 239.0
20210405160049.41, 122.2, 2.5, 239.0
20210405160050.47, 122.2, 2.5, 240.0
20210405160051.53, 122.2, 2.5, 240.0
20210405160052.58, 122.2, 2.5, 243.0
20210405160053.66, 122.2, 2.5, 243.0
20210405160054.73, 122.1, 2.7, 242.0
20210405160055.8, 122.1, 2.7, 242.0
20210405160056.88, 122.1, 2.7, 239.0
20210405160057.95, 122.1, 2.7, 239.0
20210405160059.02, 122.1, 2.7, 239.0
20210405160100.1, 122.1, 2.7, 239.0
20210405160101.16, 122.1, 2.7, 237.0
20210405160102.23, 122.1, 2.7, 237.0
20210405160103.28, 122.1, 2.7, 240.0
20210405160104.35, 122.1, 2.7, 240.0
20210405160105.41, 122.1, 2.7, 239.0
20210405160106.5, 122.1, 2.7, 239.0
20210405160107.55, 122.1, 2.7, 243.0
20210405160108.62, 122.1, 2.7, 243.0
20210405160109.69, 122.1, 2.7, 242.0
20210405160110.75, 122.1, 2.7, 242.0
20210405160111.82, 122.2, 2.7, 240.0
20210405160112.91, 122.2, 2.7, 240.0
20210405160113.98, 122.2, 2.7, 239.0
20210405160115.06, 122.2, 2.7, 239.0
20210405160116.13, 122.1, 2.7, 240.0
20210405160117.18, 122.1, 2.7, 240.0
20210405160118.25, 122.1, 2.7, 241.0
20210405160119.32, 122.1, 2.7, 241.0
20210405160120.39, 122.2, 2.7, 239.0
20210405160121.46, 122.2, 2.7, 239.0
20210405160122.54, 122.2, 2.7, 235.0
20210405160123.59, 122.2, 2.7, 235.0
20210405160124.68, 122.2, 2.7, 242.0
20210405160125.75, 122.2, 2.7, 242.0
20210405160126.81, 122.1, 2.6, 239.0
20210405160127.88, 122.1, 2.6, 239.0
20210405160128.94, 122.1, 2.6, 239.0
20210405160130.02, 122.2, 2.6, 239.0
20210405160131.2, 122.2, 2.6, 239.0
20210405160132.27, 122.2, 2.6, 238.0
20210405160133.33, 122.2, 2.6, 238.0
20210405160134.39, 122.1, 2.6, 240.0
20210405160135.44, 122.1, 2.6, 240.0
20210405160136.51, 122.1, 2.6, 240.0
