time,voltage,current,power
20210408020000.83, 121.8, 2.6, 238.0
20210408020001.99, 121.8, 2.6, 239.0
20210408020003.06, 121.7, 2.6, 239.0
20210408020004.12, 121.7, 2.6, 239.0
20210408020005.17, 121.7, 2.6, 236.0
20210408020006.23, 121.7, 2.6, 236.0
20210408020007.29, 121.7, 2.6, 240.0
20210408020008.36, 121.7, 2.6, 240.0
20210408020009.41, 121.8, 2.6, 239.0
20210408020010.48, 121.8, 2.6, 239.0
20210408020011.54, 121.8, 2.6, 239.0
20210408020012.61, 121.8, 2.6, 239.0
20210408020013.68, 121.8, 2.6, 237.0
20210408020014.75, 121.8, 2.6, 237.0
20210408020015.82, 121.8, 2.6, 237.0
20210408020016.88, 121.8, 2.6, 237.0
20210408020017.95, 121.9, 2.6, 242.0
20210408020019.02, 121.9, 2.6, 242.0
20210408020020.09, 121.9, 2.6, 237.0
20210408020021.15, 121.9, 2.6, 237.0
20210408020022.21, 121.9, 2.6, 239.0
20210408020023.27, 121.9, 2.6, 239.0
20210408020024.32, 121.9, 2.6, 237.0
20210408020025.39, 121.9, 2.6, 237.0
20210408020026.45, 121.8, 2.6, 239.0
20210408020027.51, 121.8, 2.6, 239.0
20210408020028.57, 121.8, 2.6, 237.0
20210408020029.64, 121.8, 2.6, 237.0
20210408020030.7, 121.8, 2.6, 238.0
20210408020031.77, 121.8, 2.6, 238.0
20210408020032.82, 121.8, 2.6, 239.0
20210408020033.88, 121.8, 2.6, 239.0
20210408020034.95, 121.7, 2.5, 239.0
20210408020036.02, 121.7, 2.5, 239.0
20210408020037.08, 121.8, 2.5, 242.0
20210408020038.16, 121.8, 2.5, 242.0
20210408020039.23, 121.7, 2.5, 240.0
20210408020040.29, 121.7, 2.5, 240.0
20210408020041.34, 121.7, 2.5, 238.0
20210408020042.41, 121.7, 2.5, 238.0
20210408020043.48, 121.7, 2.5, 239.0
20210408020044.54, 121.7, 2.5, 239.0
20210408020045.59, 121.7, 2.5, 236.0
20210408020046.66, 121.7, 2.5, 236.0
20210408020047.72, 121.7, 2.5, 236.0
20210408020048.79, 121.7, 2.5, 236.0
20210408020049.86, 121.7, 2.6, 238.0
20210408020050.91, 121.7, 2.6, 238.0
20210408020051.97, 121.7, 2.6, 235.0
20210408020053.05, 121.7, 2.6, 235.0
20210408020054.11, 121.7, 2.6, 236.0
20210408020055.16, 121.7, 2.6, 236.0
20210408020056.22, 121.8, 2.6, 243.0
20210408020057.29, 121.8, 2.6, 239.0
20210408020058.44, 121.8, 2.6, 239.0
20210408020059.51, 121.8, 2.6, 238.0
20210408020100.57, 121.8, 2.6, 238.0
20210408020101.62, 121.9, 2.6, 237.0
20210408020102.68, 121.9, 2.6, 237.0
20210408020103.73, 121.8, 2.6, 238.0
20210408020104.79, 121.8, 2.6, 238.0
20210408020105.86, 121.9, 2.5, 243.0
20210408020106.92, 121.9, 2.5, 243.0
20210408020107.99, 121.9, 2.5, 234.0
20210408020109.06, 121.9, 2.5, 234.0
20210408020110.11, 121.9, 2.5, 239.0
20210408020111.18, 121.9, 2.5, 239.0
20210408020112.23, 121.9, 2.5, 244.0
20210408020113.29, 121.9, 2.5, 244.0
20210408020114.36, 121.9, 2.5, 241.0
20210408020115.43, 121.9, 2.5, 241.0
20210408020116.49, 121.9, 2.5, 238.0
20210408020117.57, 121.9, 2.5, 238.0
20210408020118.63, 121.9, 2.5, 239.0
20210408020119.68, 121.9, 2.5, 239.0
20210408020120.73, 121.9, 2.5, 238.0
20210408020121.8, 121.9, 2.5, 238.0
20210408020122.86, 121.9, 2.5, 241.0
20210408020123.93, 121.9, 2.5, 241.0
20210408020124.99, 121.9, 2.5, 238.0
20210408020126.06, 121.9, 2.5, 238.0
20210408020127.12, 121.8, 2.5, 236.0
20210408020128.2, 121.8, 2.5, 236.0
20210408020129.26, 121.8, 2.5, 240.0
20210408020130.33, 121.8, 2.5, 240.0
20210408020131.39, 121.8, 2.5, 240.0
20210408020132.46, 121.8, 2.5, 240.0
20210408020133.53, 121.8, 2.5, 237.0
20210408020134.6, 121.8, 2.5, 237.0
20210408020135.66, 121.9, 2.5, 234.0
20210408020136.71, 121.9, 2.5, 234.0
20210408020137.79, 121.9, 2.5, 234.0
20210408020138.86, 121.9, 2.5, 234.0
20210408020139.93, 121.9, 2.5, 236.0
20210408020141.0, 121.9, 2.5, 236.0
20210408020142.05, 121.9, 2.5, 235.0
